Borough,SEX,RACE/ETHNICITY,TOTAL NUMBER OF HIV DIAGNOSES,"HIV DIAGNOSES PER 100,000 POPULATION",TOTAL NUMBER OF CONCURRENT HIV/AIDS DIAGNOSES,PROPORTION OF CONCURRENT HIV/AIDS DIAGNOSES AMONG ALL HIV DIAGNOSES,TOTAL NUMBER OF AIDS DIAGNOSES,"AIDS DIAGNOSES PER 100,000 POPULATION"
Queens,Male,Latino/Hispanic,1,8.8,0,0,1,8.8
Queens,Male,White,1,5.8,0,0,0,0
Queens,Female,Black,14,25.4,2,14.3,1,1.8
Queens,Female,White,1,8.2,1,100,1,8.2
Queens,Male,"Asian/Pacific
Islander",1,6.5,0,0,0,0
Queens,Male,Black,10,21.9,3,30,9,19.7
Queens,Male,Latino/Hispanic,4,37.8,2,50,4,37.8
Queens,Female,Black,1,7.9,0,0,1,7.9
Queens,Female,Latino/Hispanic,3,7.5,0,0,3,7.5
Queens,Male,"Asian/Pacific
Islander",7,19.2,3,42.9,6,16.5
Queens,Male,Black,6,52.3,3,50,5,43.6
Queens,Male,Latino/Hispanic,9,23.5,1,11.1,5,13.1
Queens,Male,Other/Unknown,1,23.7,0,0,0,0
Queens,Male,White,2,8.7,1,50,1,4.3
Queens,Female,"Asian/Pacific
Islander",1,1.9,1,100,1,1.9
Queens,Female,Black,2,20.9,0,0,0,0
Queens,Female,Latino/Hispanic,10,11.2,3,30,5,5.6
Queens,Female,White,1,3.3,0,0,0,0
Queens,Male,"Asian/Pacific
Islander",9,18.7,0,0,1,2.1
Queens,Male,Black,5,43.1,1,20,4,34.5
Queens,Male,Latino/Hispanic,70,68.5,14,20,32,31.3
Queens,Male,White,3,10,1,33.3,2,6.6
"Staten
Island",Female,Black,3,15.1,0,0,3,15.1
"Staten
Island",Female,Latino/Hispanic,2,5.6,1,50,2,5.6
"Staten
Island",Female,White,4,3.1,2,50,1,0.8
"Staten
Island",Male,Black,10,59,0,0,5,29.5
"Staten
Island",Male,Latino/Hispanic,6,17.7,0,0,1,3
"Staten
Island",Male,Other/Unknown,1,38,1,100,1,38
"Staten
Island",Male,White,5,4.2,0,0,2,1.7
"Staten
Island",Female,Latino/Hispanic,1,10.3,1,100,2,20.6
"Staten
Island",Female,White,1,11.2,1,100,1,11.2
"Staten
Island",Male,Black,5,77.4,0,0,2,31
"Staten
Island",Male,Latino/Hispanic,2,20.7,0,0,0,0
"Staten
Island",Male,White,1,11.9,0,0,1,11.9
"Staten
Island",Female,Latino/Hispanic,1,10.5,0,0,0,0
"Staten
Island",Female,White,1,1.5,0,0,0,0
"Staten
Island",Male,Latino/Hispanic,1,11.3,0,0,0,0
"Staten
Island",Male,White,2,3.2,0,0,0,0
"Staten
Island",Female,Black,3,30.9,0,0,0,0
"Staten
Island",Female,White,1,3.8,0,0,0,0
"Staten
Island",Male,Black,5,61.3,0,0,2,24.5
"Staten
Island",Male,Latino/Hispanic,2,19.8,0,0,1,9.9
"Staten
Island",Female,White,1,4,1,100,0,0
"Staten
Island",Male,Latino/Hispanic,1,19.3,0,0,0,0
"Staten
Island",Male,White,2,8.7,0,0,0,0
Bronx,Female,Black,45,24.3,12,26.7,46,24.9
Bronx,Female,Latino/Hispanic,27,7.8,2,7.4,39,11.2
Bronx,Male,"Asian/Pacific
Islander",4,17.1,1,25,3,12.9
Bronx,Male,Black,98,63.7,15,15.3,82,53.3
Bronx,Male,Latino/Hispanic,114,38.7,13,11.4,63,21.4
Bronx,Male,White,18,34.1,4,22.2,9,17.1
Bronx,Female,Black,6,24.5,2,33.3,7,28.6
